"Id","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","ConnectionReceivedId","ConnectionSentId","nFORCE__Screen__c","nFORCE__Break_Page_After__c","nFORCE__Break_Page_Before__c","nFORCE__Default_Editable__c","nFORCE__Default_Rendered__c","nFORCE__Disable_Print__c","nFORCE__Display_Order__c","nFORCE__Display_Toggle_Effect__c","nFORCE__Display_Toggle_Header__c","nFORCE__Display_Toggle_Link__c","nFORCE__Headless__c","nFORCE__Inactive__c","nFORCE__Instructions_Text__c","nFORCE__Is_Editable__c","nFORCE__Layout__c","nFORCE__Screen_View__c","nFORCE__Section_Resource__c","nFORCE__Widget__c","nFORCE__lookupKey__c","nFORCE__sObject_Type__c","AutorabitExtId__c","nFORCE__Conditional_Display_Criteria__c","nFORCE__Parent_Screen_Section__c","nFORCE__Number_of_Columns__c","Custom_Code_in_Screen_Section__c","nFORCE__Are_Columns_Sortable__c","nFORCE__Auto_Save__c","nFORCE__Validation_Service__c"
"a2F5e000000557BEAQ","","Collateral Details","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","2021-10-10T18:02:42.000Z","0055e000003ZErQAAW","","","","a2G5e0000005UuCEAU","false","false","false","false","false","","slide","true","false","false","true","","true","","","MappedSObjectScreenResource","","42408547330158687","LLC_BI__Loan_Collateral2__c","","","","","","false","false",""
"a2F5e000000557CEAQ","","Collateral Valuation","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","2021-10-10T18:02:42.000Z","0055e000003ZErQAAW","","","","a2G5e0000005UuCEAU","false","false","false","false","false","","slide","true","false","false","false","","true","","","MappedSObjectScreenResource","","42770916055813452","LLC_BI__Collateral__c","","","","","","false","false",""
"a2F5e000000557DEAQ","","Pledge Details","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","2021-10-10T18:02:42.000Z","0055e000003ZErQAAW","","","","a2G5e0000005UuCEAU","false","false","false","false","false","","slide","true","false","false","true","","true","","","MappedSObjectScreenResource","","42837477030719818","LLC_BI__Loan_Collateral2__c","","","","","","false","false",""
"a2F5e000000557EEAQ","","Collateral Search Results","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","2021-10-10T18:02:42.000Z","0055e000003ZErQAAW","","","","a2G5e0000005UuCEAU","false","false","false","false","false","","slide","true","false","false","false","","true","","","MappedSObjectScreenResource","","42341236978633924","LLC_BI__Collateral__c","","","","","","false","false",""
"a2F5e000000557FEAQ","","Bulk Pledge Details","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","2021-10-10T18:02:42.000Z","0055e000003ZErQAAW","","","","a2G5e0000005UuCEAU","false","false","false","false","false","","slide","true","false","false","false","","true","","","CustomSObjectListScreenResource","","42922597703739427","LLC_BI__Loan_Collateral2__c","","","","","","false","false",""
"a2F5e000000557OEAQ","","Collateral Details","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","2021-10-10T18:02:42.000Z","0055e000003ZErQAAW","","","","a2G5e0000005Uu9EAE","false","false","false","false","false","","slide","true","false","false","true","","true","","","MappedSObjectScreenResource","","42756644578938984","LLC_BI__Loan_Collateral2__c","","","","","","false","false",""
"a2F5e000000557PEAQ","","Collateral Valuation","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","2021-10-10T18:02:42.000Z","0055e000003ZErQAAW","","","","a2G5e0000005Uu9EAE","false","false","false","false","false","","slide","true","false","false","false","","true","","","MappedSObjectScreenResource","","42556818826445827","LLC_BI__Collateral__c","","","","","","false","false",""
"a2F5e000000557QEAQ","","Pledge Details","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","2021-10-10T18:02:42.000Z","0055e000003ZErQAAW","","","","a2G5e0000005Uu9EAE","false","false","false","false","false","","slide","true","false","false","true","","true","","","MappedSObjectScreenResource","","42954666193102875","LLC_BI__Loan_Collateral2__c","","","","","","false","false",""
"a2F5e000000557REAQ","","Collateral Search Results","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","2021-10-10T18:02:42.000Z","0055e000003ZErQAAW","","","","a2G5e0000005Uu9EAE","false","false","false","false","false","","slide","true","false","false","false","","true","","","MappedSObjectScreenResource","","4289077711468689","LLC_BI__Collateral__c","","","","","","false","false",""
"a2F5e000000557SEAQ","","Bulk Pledge Details","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","2021-10-10T18:02:42.000Z","0055e000003ZErQAAW","","","","a2G5e0000005Uu9EAE","false","false","false","false","false","","slide","true","false","false","false","","true","","","CustomSObjectListScreenResource","","42112852178994770","LLC_BI__Loan_Collateral2__c","","","","","","false","false",""
