"Id","OwnerId","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","ConnectionReceivedId","ConnectionSentId","LLC_BI__Attorney__c","LLC_BI__ExpansionLh__c","LLC_BI__ExpansionRe__c","LLC_BI__RefinanceLh__c","LLC_BI__RefinanceRe__c","LLC_BI__Start_upLh__c","LLC_BI__Start_upRe__c","LLC_BI__acquisitionLh__c","LLC_BI__acquisitionRe__c","LLC_BI__clientView__c","LLC_BI__comments__c","LLC_BI__docClass__c","LLC_BI__docManager__c","LLC_BI__docTab__c","LLC_BI__docType__c","LLC_BI__dueDaysPrior__c","LLC_BI__firstReview__c","LLC_BI__lookupKey__c","LLC_BI__naOk__c","LLC_BI__onesToWatch__c","LLC_BI__owner__c","LLC_BI__sortOrder__c","LLC_BI__Portal_Doc_Description__c","LLC_BI__Portal_Doc_Name__c","LLC_BI__Portal_Enabled__c","NDOC__description__c","NDOC__neededByStage__c","NDOC__priority__c","LLC_BI__Approval_Roles__c","LLC_BI__Viewer_Roles__c","LLC_BI__Criteria__c","NDOC__Placeholder_Approval_Roles__c","NDOC__Placeholder_Viewer_Roles__c","LLC_BI__Auto_Esign__c","LLC_BI__Placeholder_Viewer_Groups__c","LLC_BI__Placeholder_Viewer_Profiles__c","LLC_BI__Requirement__c","LLC_BI__Document_Id_Mapping__c","LLC_BI__E_Vault__c"
"a0H5e000001sApMEAU","0055e000003ZErQAAW","","Credit Memo","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","2022-03-17T09:12:48.000Z","0055e000003ZErQAAW","","","","false","","","","","","","","","false","","a0R5e000000Vo8NEAS","a0V5e000000ZpyHEAS","","a0X5e000000a0ctEAA","","false","a0H5e000001sApMEAU","false","false","","","","","false","","","","","","","","","false","","","","","false"
"a0H5e000001sApNEAU","0055e000003ZErQAAW","","Business Tax Returns","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","","","","false","","","","","","","","","false","","a0R5e000000Vo8OEAS","a0V5e000000ZpyJEAS","","a0X5e000000a0d1EAA","","false","a0H5e000001sApNEAU","false","false","","","","","false","","","","","","{{IF=""1""}}{{COND=""1"" FIELD=""Account.Type"" IS=""Business""}}__GUID__{{ENDIF}}","","","false","","","","","false"
"a0H5e000001sApOEAU","0055e000003ZErQAAW","","Business Financial Statements","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","","","","false","","","","","","","","","false","","a0R5e000000Vo8PEAS","a0V5e000000ZpyJEAS","","a0X5e000000a0d1EAA","","false","a0H5e000001sApOEAU","false","false","","","","","false","","","","","","{{IF=""1""}}{{COND=""1"" FIELD=""Account.Type"" IS=""Business""}}__GUID__{{ENDIF}}","","","false","","","","","false"
"a0H5e000001sApPEAU","0055e000003ZErQAAW","","Credit Report","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","","","","false","","","","","","","","","false","","a0R5e000000Vo8QEAS","a0V5e000000ZpyJEAS","","a0X5e000000a0d1EAA","","false","a0H5e000001sApPEAU","false","false","","","","","false","","","","","","{{IF=""1""}}{{COND=""1"" FIELD=""Account.Type"" IS=""Business""}}__GUID__{{ENDIF}}","","","false","","","","","false"
"a0H5e000001sApQEAU","0055e000003ZErQAAW","","Tax ID","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","","","","false","","","","","","","","","false","","a0R5e000000Vo8REAS","a0V5e000000ZpyJEAS","","a0X5e000000a0d2EAA","","false","a0H5e000001sApQEAU","false","false","","","","","false","","","","","","{{IF=""1""}}{{COND=""1"" FIELD=""Account.Type"" IS=""Business""}}__GUID__{{ENDIF}}","","","false","","","","","false"
"a0H5e000001sApREAU","0055e000003ZErQAAW","","Business Tax Returns","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","","","","false","","","","","","","","","false","","a0R5e000000Vo8SEAS","a0V5e000000ZpyJEAS","","a0X5e000000a0d1EAA","","false","a0H5e000001sApREAU","false","false","","","","","false","","","","","","{{IF=""1""}}{{COND=""1"" FIELD=""Account.Type"" IS=""LLC""}}__GUID__{{ENDIF}}","","","false","","","","","false"
"a0H5e000001sApSEAU","0055e000003ZErQAAW","","Business Financial Statements","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","","","","false","","","","","","","","","false","","a0R5e000000Vo8TEAS","a0V5e000000ZpyJEAS","","a0X5e000000a0d1EAA","","false","a0H5e000001sApSEAU","false","false","","","","","false","","","","","","{{IF=""1""}}{{COND=""1"" FIELD=""Account.Type"" IS=""LLC""}}__GUID__{{ENDIF}}","","","false","","","","","false"
"a0H5e000001sApTEAU","0055e000003ZErQAAW","","Credit Report","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","","","","false","","","","","","","","","false","","a0R5e000000Vo8UEAS","a0V5e000000ZpyJEAS","","a0X5e000000a0d1EAA","","false","a0H5e000001sApTEAU","false","false","","","","","false","","","","","","{{IF=""1""}}{{COND=""1"" FIELD=""Account.Type"" IS=""LLC""}}__GUID__{{ENDIF}}","","","false","","","","","false"
"a0H5e000001sApUEAU","0055e000003ZErQAAW","","Articles of Incorporation","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","","","","false","","","","","","","","","false","","a0R5e000000Vo8VEAS","a0V5e000000ZpyJEAS","","a0X5e000000a0d3EAA","","false","a0H5e000001sApUEAU","false","false","","","","","false","","","","","","{{IF=""1""}}{{COND=""1"" FIELD=""Account.Type"" IS=""LLC""}}__GUID__{{ENDIF}}","","","false","","","","","false"
"a0H5e000001sApVEAU","0055e000003ZErQAAW","","Personal Tax Return","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","2021-06-18T13:03:13.000Z","0055e000003ZErQAAW","","","","false","","","","","","","","","false","","a0R5e000000Vo8WEAS","a0V5e000000ZpyJEAS","","a0X5e000000a0d1EAA","","false","a0H5e000001sApVEAU","false","false","","","","","false","","","","","","{{IF=""1""}}{{COND=""1"" FIELD=""Account.Type"" IS=""Individual""}}__GUID__{{ENDIF}}","","","false","","","","","false"
